,구,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승하차인원,휴일여부
369,강남,2020-01-05,1.1,0.0,0.5,2호선,강남,104303,1
370,강남,2020-01-06,3.3,1.0,0.8,2호선,강남,235976,0
371,강남,2020-01-07,6.2,53.5,0.7,2호선,강남,232370,0
372,강남,2020-01-08,3.7,5.0,2.5,2호선,강남,241140,0
373,강남,2020-01-09,0.4,0.0,1.6,2호선,강남,244797,0
374,강남,2020-01-10,0.8,0.0,0.9,2호선,강남,262595,1
375,강남,2020-01-11,0.9,0.0,1.1,2호선,강남,196419,1
376,강남,2020-01-12,0.4,0.0,1.6,2호선,강남,110158,1
377,강남,2020-01-13,-1.2,0.0,1.8,2호선,강남,236982,0
378,강남,2020-01-14,-1.0,0.0,1.1,2호선,강남,242709,0
